20.9,155.5,129.9,4.1,8,1,8.2,8,1
26.9,106,183.6,5.3,8,1,7.7,8,1
27.2,85.5,237,4.9,8,1,5.6,8,1
22.4,316.5,121.4,3.3,8,1,7.5,8,1
18.5,202.5,183.9,3.9,8,1,5.4,8,1
11.3,22,129,4,8,1,6.1,8,1
6.7,95,132,3.3,8,1,6.1,8,1
5.1,115.5,202.4,4.3,5,1,4.2,8,1
5.7,61.5,138.3,3.4,8,1,6.1,8,1
8.3,161,199.9,4.6,8,1,5.8,8,1
14.6,122.5,154.2,5.1,8,1,7.6,8,1
18.2,89,131.8,4,8,1,8,8,1
22.6,38,101.7,4.1,8,1,8.7,8,1
22.3,143.5,57.4,3.7,8,1,9.3,8,1
25.3,318.5,144.1,4.3,8,1,8.2,8,1
23.6,138,169.9,4,8,1,7.1,8,1
17.3,125.5,138.1,3.5,8,1,7.4,8,1
14.1,228,87.4,3.4,8,1,7.5,8,1
9,53.5,186.1,3.8,8,1,4,8,1
5.9,9,204.6,4.5,8,1,4.5,8,1
8.1,18,215.9,4.4,8,1,4,8,1
9.2,121.5,168.5,4.7,8,1,6.4,8,1
15.8,76,229.7,5,8,1,5.3,8,1
18.9,132,135.4,4.9,8,1,7.8,8,1
23,190.5,185.9,4.6,8,1,7.6,8,1
27.5,20,249.3,4.5,8,1,6.1,8,1
26.7,75.5,196.9,5,8,1,7.6,8,1
24.7,266,151.5,4.7,8,1,7,8,1
17.2,532,115.9,3.4,8,1,7,8,1
15.2,154.5,159.5,3,8,1,5.1,8,1
9.6,75.5,170.8,3.8,8,1,5.2,8,1
6.3,103.5,205,4.6,8,1,4.4,8,1
6,53.5,146.3,4.1,8,1,6,8,1
8.8,81,171.4,4,8,1,6.7,8,1
14.4,95,213.3,4.5,8,1,5.5,8,1
16.9,97,167.2,4.2,8,1,7.6,8,1
22.2,168.5,107.1,3.6,8,1,8.7,8,1
24.9,180,116.7,3.6,8,1,8.8,8,1
27.4,253,187.1,4.2,8,1,7.5,8,1
24.3,56,178,3.9,8,1,7.1,8,1
18.8,183.5,110.9,3.3,8,1,7.2,8,1
12.9,40,183.5,3,8,1,5.1,8,1
6.2,3.5,225.9,4,8,1,2.6,8,1
4.7,107,162,3.7,8,1,5.2,8,1
6.5,112,123.1,3.8,8,1,6.8,8,1
9.6,81.5,171.3,4.8,8,1,6.2,8,1
13.3,113.5,152.7,4.2,8,1,7.2,8,1
18.5,100.5,129.2,4.9,8,1,8.1,8,1
21.9,124.5,81.5,3.2,8,1,8.9,8,1
25.1,115.5,67,3.4,8,1,9.4,8,1
26.8,168.5,162.5,3.2,8,1,7.1,8,1
23.2,158.5,127,3.7,8,1,7.7,8,1
19.3,335,151.3,3.8,8,1,6.5,8,1
14.1,109.5,150.2,3.4,8,1,6.1,8,1
9.2,200,145.7,3.4,8,1,6,8,1
7.4,42.5,171.8,3.3,8,1,5.8,8,1
8.4,77,183.9,3.7,8,1,4.5,8,1
10.6,52,179.9,4.2,8,1,5.9,8,1
13.5,121,149.8,4.5,8,1,7.8,8,1
19.4,130.5,206,4.4,8,1,6.1,8,1
22.6,66,191,4,8,1,7.5,8,1
23.8,220,86.8,3.4,8,1,8.6,8,1
28.3,8,240.9,4.5,5,1,5.8,8,1
24.8,227,127,4.5,8,1,7.8,8,1
18.7,142,127.9,3.2,8,1,7,8,1
13,33.5,141.1,3,8,1,5.8,8,1
9,70.5,174.1,3.2,8,1,5,8,1
5.6,24,165.4,3.1,8,1,5.4,8,1
5.4,66,211.4,4.2,8,1,4,8,1
10.3,127.5,191.5,3.8,8,1,6,8,1
14,198,147.9,4.1,8,1,7.3,8,1
17.9,236.5,141.9,4.2,8,1,8.4,8,1
20.8,237,109.2,3.6,8,1,8.6,8,1
26.2,18,174,3.6,8,1,8.1,8,1
26.8,186,151.7,3.9,5,1,7.9,8,1
23.8,240.5,128.9,3.2,5,1,7.5,8,1
19.1,160.5,126.3,2.9,8,1,6.9,8,1
13.2,72,130.5,3.4,8,1,6,8,1
9.7,73,194.5,3.6,8,1,4.1,8,1
6.7,117.5,166.4,3.5,8,1,5.3,8,1
7.6,41.5,120,3.9,8,1,6.9,8,1
9.7,85,158.9,4.4,8,1,6.4,8,1
15.4,107,221.5,4.2,8,1,5.5,8,1
19.6,156,161.2,4.4,8,1,8.3,8,1
21.9,195.5,82.6,3.5,8,1,9.3,8,1
25.8,99,111.9,5.1,8,1,8.9,8,1
25.8,249,142.5,3.7,8,1,7.7,8,1
22.4,46,130.9,3.4,8,1,7.5,8,1
18.7,288.5,141.6,3.6,8,1,6.1,8,1
13.3,152.5,96.1,3.2,8,1,7.2,8,1
8.9,99,168.1,3.6,8,1,4.8,8,1
7,14,207.3,3.5,8,1,4.2,8,1
6.4,113,89.9,3.7,8,1,7.3,8,1
8.9,152.5,113.1,4.5,8,1,7.4,8,1
12,184.5,123.7,4.3,8,1,8.5,8,1
18.5,81.5,197.4,4.4,8,1,7.6,8,1
22.9,93.5,167.6,4.2,8,1,7.9,8,1
27.7,62.5,200.4,4.9,8,1,7.9,8,1
29,24.5,243.8,4.6,8,1,6.6,8,1
24.8,386,164.2,3.8,5,1,7.6,8,1
18.6,194.5,86.4,3.2,8,1,,0,1
13.6,107,147.5,3,8,1,,0,1
10.2,111.5,190.5,4,8,1,,0,1
5.2,5.5,241.9,3.4,8,1,,0,1
7.1,133,142.3,3.6,8,1,,0,1
8.2,74,213.1,4.1,5,1,,0,1
14.4,53,215.4,5,8,1,,0,1
18.4,197.5,144.1,4.4,8,1,,0,1
22.3,135,110.4,3.6,5,1,,0,1
26.8,28,188.9,4.9,8,1,,0,1
27.2,143,186.4,3.9,8,1,,0,1
25,153,172.7,4.5,8,1,,0,1
19.2,193.5,145.5,3.6,8,1,,0,1
14.7,90,130.4,2.9,8,1,,0,1
7.2,53,191.5,3.1,8,1,,0,1
4.4,47,176.4,3.3,5,1,,0,1
5.2,103.5,143.5,3.3,8,1,,0,1
8.7,134,143,3.8,8,1,,0,1
14,111,165.8,4.2,8,1,,0,1
19.2,169,195.1,4,8,1,,0,1
20.7,192.5,129,4.2,8,1,,0,1
25.7,94,181.5,4.2,8,1,,0,1
28.2,108,242.3,4,8,1,,0,1
25.5,143.5,169.5,3.6,8,1,,0,1
18.9,268,162,3.5,8,1,,0,1
12.6,168.5,157.2,3.2,8,1,,0,1
7.1,75,174,3.3,8,1,,0,1
5.3,77,207.4,3.7,8,1,,0,1
5.8,46.5,166.1,3.8,8,1,,0,1
11.7,35.5,180.7,4.7,8,1,,0,1
14.8,138,190.7,5.3,8,1,,0,1
18.9,72.5,227.2,4.3,8,1,,0,1
21.9,168.5,108.1,3.7,8,1,,0,1
26.3,45,174.1,3.9,8,1,,0,1
28.5,43.5,233.5,3.9,8,1,,0,1
24.5,226,171.2,3.9,8,1,,0,1
19.5,518.5,112.3,4,5,1,,0,1
13.4,25,180.7,3.7,8,1,,0,1
8.2,50.5,183.3,3.4,8,1,,0,1
6.2,44,194.4,3.3,8,1,,0,1
5.7,148.5,118.7,3.3,5,1,,0,1
10,106,192.5,4.1,8,1,,0,1
14.3,101,211.9,3.8,8,1,,0,1
19.6,104.5,238,4.3,8,1,,0,1
22.7,303.5,146.5,3.5,8,1,,0,1
26.1,90.5,189.7,3.6,8,1,,0,1
27.1,71.5,196.7,5.1,8,1,,0,1
22.6,60.5,152.7,3.2,8,1,,0,1
18.8,285,135.8,3.4,8,1,,0,1
14.1,85,136,3,8,1,,0,1
7.8,95.5,200.5,3.8,8,1,,0,1
6.5,91.5,190.1,4.1,8,1,,0,1
6.2,62,166.5,3.7,8,1,,0,1
10.5,103,188.6,4.1,8,1,,0,1
14.5,118.5,149.3,4.2,8,1,,0,1
21,72.5,237.2,4.1,8,1,,0,1
22.2,161.5,145.8,3.4,8,1,,0,1
26.3,255,201.5,4.5,8,1,,0,1
26.8,105,159.1,3.8,8,1,,0,1
23,403.5,122.4,3.5,8,1,,0,1
19,62,192.1,3.6,8,1,,0,1
14.7,129,124.1,3,8,1,,0,1
10.1,52,157.4,3.2,8,1,,0,1
6.7,80,194.2,3.1,8,1,,0,1
7.6,60,168.4,3.7,8,1,,0,1
10.3,140,149.6,3.5,8,1,,0,1
15.7,91,138.9,4.4,8,1,,0,1
20.1,160,215.9,4.4,8,1,,0,1
22.6,134.5,135.1,3.7,8,1,,0,1
25.4,94.5,155.6,3.4,8,1,,0,1
27.3,250.5,168.8,4,8,1,,0,1
24.9,286,90.3,3.3,8,1,,0,1
