7.7,3.6,34.8,25,28.7
1.4,4.4,28.7,22.6,25.1
4.4,3,31.9,22.4,26.3
5.5,4.3,31.3,24.5,27.7
2.4,4.5,28.3,22.8,24.8
1.1,3.4,27.9,22.5,24.6
0,3.5,26.2,22.4,24.1
0,2.8,27,22,23.9
0.2,2.5,29.2,22.8,26
7.5,4.1,31.9,26.3,28.8
0.2,2.9,28.9,22.8,26
0,4,25,21.6,23.1
4.2,2.5,31.7,21.3,25.4
10,3.2,32.1,25.1,28
4.5,4,30.9,23.3,25.8
8.6,3.7,31.5,22.6,25.7
12.7,4.1,30.1,20.9,24.9
0.4,5.3,26.6,20.7,22.9
9,3.9,27.7,18.3,22.8
5.5,3.2,29,20.8,24.8
0,5.9,27.4,21.9,25.1
0,8.4,27.3,24.7,26.2
9.5,3.3,31.8,24.2,27.9
3.3,2.8,31.7,24.5,26.8
5.3,2.8,31.7,23.5,26.4
3.6,3,30.6,23.6,26.6
0.2,3.1,28.2,23.5,25.4
2.6,3.2,30.4,23.4,25.8
2,4.1,29.2,23.7,25.4
0.9,3.7,27.7,22.9,24.5
0,2.3,24.2,21.8,22.7
9.6,4,33.8,24.8,29.6
6,2.8,35.6,24.4,27.8
7.3,3.1,32.2,23,26.5
3.3,2.8,30.7,23.1,26.8
8.5,2.8,32.8,24.9,28.6
10.1,3.1,34.1,27.1,30.3
12.4,4.6,33.7,26.9,29.8
13.2,8.4,34.5,27.2,29.7
13.1,9.9,32.5,27,29.5
13,9.4,32.9,27.3,29.5
12.7,7.3,32.9,23.9,29.3
2,3.7,29.8,22.8,25.1
9.8,4.5,33.2,24.1,28.3
12.8,7,33.8,27,29.6
11,7,34.4,27.1,29.6
5.7,4.3,31.1,22.4,26.8
1.9,4.3,28.5,21.8,24.3
0,4.9,24.3,21.8,22.6
0,5.3,26.9,22.8,25.1
12.3,8.9,32.7,23.2,27.4
9.2,5.9,30.4,21.2,24.9
5.5,3.6,27.3,20.8,23.1
0,2.9,24.9,20.5,22.2
6.3,4,29.5,21.8,25.2
5.7,3.3,30.9,24,26.3
2,3.3,28.5,22.8,24.9
4.1,3,31.7,23,26.7
6.8,4.5,32.3,25.5,28.3
10,3.5,31.2,25.4,28
11.9,4.5,31.6,25.8,28.2
10.8,4.8,32,25.8,28
0.7,3.2,26.4,20.7,22.6
7.7,3.6,31.4,21.6,26.6
9.8,5.6,31,25.9,28.3
12.7,5.3,32.5,26.5,28.9
7.7,3.8,34.8,24.7,27.7
2.8,2.6,31.1,23.5,26.6
7.8,4.1,31.7,22.7,27.1
5.1,6.4,31.9,25.1,28
0,11.4,30.3,25.6,27.8
11.5,5.8,31.8,25.9,28.2
11.6,6.8,32.1,26,28.2
2,5.6,31.4,21,26.1
2,3.5,27,20.7,22.9
0,4.2,20.9,18.4,19.6
0,3.4,20.2,18.3,19.1
0,3.6,19.8,18.5,18.9
0,2.4,21.2,18.5,19.9
0,2.4,24.8,19.1,21.1
0,2.8,24.6,19.9,21.5
0,2.5,27.1,20.5,23.6
5.7,2.7,29.7,22.1,25.7
7.2,2.5,32.2,24.8,27.4
11.5,5.1,32.1,25.4,28.3
9,3.1,33.2,25.9,28.7
9.9,5.2,33.5,25.5,29
2.5,5.7,31.8,27,28.2
0.8,4.9,27.3,20.9,23.9
1.8,3.5,28.5,20.8,24.8
9,3.7,31.8,23.5,27.7
0.9,3.8,27.8,22.1,25.1
4.4,3.9,31.5,20.3,24.1
9.4,5.1,32.6,24.3,27.5
10.1,4.9,31.5,24.7,27.4
7.2,4.3,31,25,27.8
7.6,4.2,33.4,25.1,28.3
4.5,5.8,32.4,25.9,28.6
8.1,5.3,31.7,25.9,28.4
2.9,4.1,31.4,25.8,28
10.7,4.7,30.8,25.2,27.7
12.3,5.4,31.9,25.1,28.2
9.3,5.1,31.9,26.3,28.6
4.9,3.7,32.2,24.9,27.6
9.9,3.4,33.1,23.3,27.9
11.8,4.1,33.1,25,28.8
9.4,4.3,33.3,27.2,29.4
0,3.3,27.9,17.6,20.3
9.1,2.7,29.2,19,24.5
2,4.9,31.4,23.5,27.2
9.6,9.9,33,25.7,29.6
11.3,10.2,32.9,28.3,30
12.2,8.9,35.5,25.5,30
6.8,4,29.6,22.3,25.5
5.1,2.9,30,22.5,25.6
0,2.8,24.1,20.2,22.1
4.9,4.9,30.1,20.1,26.1
1.3,3.4,27.2,23.6,25
1.5,3.8,29.7,22,25.4
2.8,4.6,29.1,21.7,24.4
0,4.9,23.5,20.8,21.7
0,3.5,21.7,19.5,20.6
3.6,4,31.8,20.5,26
8.6,11.4,31.3,26,28.9
6.1,4.4,31.3,25.7,28
2.6,4.5,30.7,26.2,27.8
7.9,4.9,33,26.3,28.9
5.9,2.5,34.1,25.6,28.8
10.2,2.9,35.3,26.1,29.6
9.4,3.8,32.2,26,28.8
10.1,5,32.5,26.1,28.8
7.6,4.1,31.4,25.4,28
7.2,3.1,32.4,24.6,27.5
3.2,3,29.7,24.5,26.9
6.3,3.1,32.3,23.9,27.3
0,3,29.1,24.8,26.8
1.3,3.9,29.7,24.2,26.2
10.9,3.4,31.7,24.7,27.9
8,3.6,31.9,25.2,28.4
3,3.6,30.3,23.7,26.1
10.3,3.2,32.1,22.9,26.4
7.3,3.5,32.8,24,27.9
12.3,5.8,32.6,26.6,29.2
11.4,6.2,32.8,27.1,29.4
10.1,6.4,32.3,26.6,29.1
2.5,6,30.8,26.5,28.2
2.7,5.7,31.3,22.2,27.3
0.2,3.9,26.1,22.1,23.8
0,5.9,26.3,22.2,24.6
5.6,7.5,32.2,24.1,27.5
6.8,4.9,31.1,25.3,27.5
0,3.1,26.2,23.1,24.7
8.4,2.7,31.6,22.7,25.9
8.3,3.2,29.5,22.2,25.7
1.5,1.9,28.8,22.4,25.2
0.7,2.9,26.4,19.4,22.1
4,2.6,29,20.9,24
10.6,3.1,30,21.9,25.9
12.8,4,31.6,24,27.1
